{ name: 'Hirnschmelzer', effect: 'verwirrt das Ziel komplett', damage: 35 },
    { name: 'USB falsch rum', effect: 'maximale Frustration', damage: 28 },
    { name: 'Heißer Kaffee', effect: 'verbrüht die Geduld', damage: 26 },
    { name: 'Pfandflaschenwurf', effect: 'nachhaltiger Schaden', damage: 25 },
    { name: 'Stromausfall', effect: 'macht dich blind und taub', damage: 33 },
    { name: 'Philosophie-Stunde', effect: 'überlastet dein Denken', damage: 30 },
    { name: 'Handyakku leer', effect: 'Ziel verliert komplett die Kontrolle', damage: 29 },
    { name: 'Mückenschwarm', effect: 'nervt dich zu Tode', damage: 27 },

    { name: 'Regen beim Grillen', effect: 'macht alle Pläne zunichte', damage: 28 },
    { name: 'Ohrwurm', effect: 'dreht sich ewig im Kopf', damage: 26 },
    { name: 'Fehlermeldung 404', effect: 'Mind not found', damage: 25 },
    { name: 'Kinderschrei', effect: 'macht selbst den stärksten Krieger weich', damage: 31 },
    { name: 'Karaoke-Killer', effect: 'zersingt deine Ehre', damage: 30 },
    { name: 'Schwiegermutter-Blick', effect: 'lässt dich erstarren', damage: 32 },
    { name: 'Ketchup-Flecken', effect: 'verursacht maximalen Stress', damage: 29 },
    { name: 'Cringe-Level-9000', effect: 'zerstört deine Würde', damage: 30 },
    { name: 'Bananenschalen-Rutsch', effect: 'klassischer Knockout', damage: 27 },
    { name: 'Butterfinger-Attacke', effect: 'du verlierst alles', damage: 28 },

    { name: 'Ferndiagnose', effect: 'stellt falsche Krankheiten fest', damage: 26 },
    { name: 'Schlechte Witze', effect: 'töten langsam dein inneres Ich', damage: 27 },
    { name: 'Staubsauger-Horror', effect: 'zieht alles ein, auch deine Motivation', damage: 25 },
    { name: 'Vater-Sprüche', effect: 'macht dich sprachlos', damage: 30 },
    { name: 'Böller unter der Couch', effect: 'knallt emotional', damage: 31 },
    { name: 'Knusperchip-Angriff', effect: 'zieht Konzentration ab', damage: 26 },
    { name: 'Funkloch', effect: 'kommunikative Isolation', damage: 29 },
    { name: 'Karnevals-Schock', effect: 'bunt und brutal', damage: 28 },
    { name: 'Luftpolsterfolie-Explosion', effect: 'hypnotisiert das Ziel', damage: 27 },
    { name: 'Zoom-Meeting', effect: 'lässt dich innerlich sterben', damage: 30 },

    { name: 'Fake-Gewinnspiel', effect: 'zieht Hoffnung ab', damage: 25 },
    { name: 'Werbe-Jumpscare', effect: 'versetzt dich in Rage', damage: 26 },
    { name: 'Flixbus-Horrortrip', effect: 'verursacht seelische Narben', damage: 29 },
    { name: 'Bürokratie-Klatscher', effect: 'macht dich willenlos', damage: 30 },
    { name: 'Schneckenrennen', effect: 'bringt deine Geduld ans Limit', damage: 24 },
    { name: 'Sarkasmus-Dusche', effect: 'tropft in dein Ego', damage: 28 },
    { name: 'Gurkenmaske', effect: 'verwirrt optisch', damage: 26 },
    { name: 'Ketchup-Overload', effect: 'macht alles klebrig', damage: 25 },
    { name: 'Minecraft-Creeper', effect: 'explodiert mitten in deinem Leben', damage: 32 },
    { name: 'Flachwitz-Falle', effect: 'lässt dich sterben vor innerer Leere', damage: 27 },

    { name: 'Großmutter-Schmatzer', effect: 'erötet vor Peinlichkeit', damage: 33}
